Product (WPN);Datasheet;OPN;Price;Description;Channel Polarity;Configuration;V(BR)DSS Min (V);RDS(on) @ VGS = 10 V (mΩ)†;ID Max (A);Qg @ VGS = 10 V (nC)†;VGS Max (V);Technology;Package Type;Ciss Typ (pF);VGS(th) Max (V);PD Max (W);RDS(on) Max @ VGS = 2.5 V  (mΩ);RDS(on) Max @ VGS = 4.5 V  (mΩ);Qg Typ @ VGS = 4.5 V (nC);Coss Typ (pF);Crss Typ (pF);Qgd Typ @ VGS = 4.5 V (nC);Qrr Typ (nC);Qualification;Tj Max (°C);AEC Qualified;PPAP Capable;Halide Free;Lead Free;Status
NVTFS6H888NL;https://www.onsemi.com/download/data-sheet/pdf/NVTFS6H888NL-D.PDF;NVTFS6H888NLWFTAG;0.18;Single N-Channel Power MOSFET 80V, 13A, 50mΩ, Logic Level, WDFN8 (Pb−Free, Wettable Flanks);N-Channel;Single;80;50;14;6;20;Silicon;WDFNW8 3.3x3.3, 0.65P (Full−Cut 8FL WF);258;2;23;;67;3;36;3;1;13;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVTFS6H888NL;https://www.onsemi.com/download/data-sheet/pdf/NVTFS6H888NL-D.PDF;NVTFS6H888NLTAG;0.20;Single N-Channel Power MOSFET 80V, 13A, 50mΩ, Logic Level;N-Channel;Single;80;50;14;6;20;Silicon;WDFN-8 / u8FL;258;2;23;;67;3;36;3;1;13;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVMFD6H846NL;https://www.onsemi.com/download/data-sheet/pdf/NVMFD6H846NL-D.PDF;NVMFD6H846NLWFT1G;0.53;MOSFET - Power, Dual N-Channel, 80 V, 15 mΩ 31 A NVMFD6H846NL, DFN8 (Pb−Free, Wettable Flanks);N-Channel;Dual;80;15;31;17;20;Silicon;SO-8FL Dual / DFN-8;900;2;34;;19;8;120;7;3;25;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NTTFD4D1N03P1E;https://www.onsemi.com/download/data-sheet/pdf/NTTFD4D1N03P1E-D.PDF;NTTFD4D1N03P1E;0.56;Dual Power MOSFETs, N-Channel, Symmetric, 3x3mm, 30V/4.5mΩ, 54A ;N-Channel;Dual;30;3.5;54;14;16;Silicon;WQFN-12;1103;2.2;20;;4.5;6.3;309;19;1.4;9;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NVMFS4C306N;https://www.onsemi.com/download/data-sheet/pdf/NVMFS4C306N-D.PDF;NVMFS4C306NWFT1G;2.87;Power MOSFET 30V, 116A, 3.4 mΩ, Single N-Channel, SO8-FL, Logic Level., SO-8FL (Pb-free) - Wettable Option Available;N-Channel;Single;30;3.4;71;26;20;Silicon;DFNW5 5x6;1683;2.1;3;;4.8;11.6;841;40;4;22;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVMFS6H858NL;https://www.onsemi.com/download/data-sheet/pdf/NVMFS6H858NL-D.PDF;NVMFS6H858NLT1G;0.24;Power MOSFET 80V, 32A, 20.7 mOhm, Single N-Channel, SO8-FL.;N-Channel;Single;80;19.5;30;12;20;Silicon;SO-8FL / DFN-5;623;2;42;;25;6;82;5;2.1;21;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVMFD6H846NL;https://www.onsemi.com/download/data-sheet/pdf/NVMFD6H846NL-D.PDF;NVMFD6H846NLT1G;0.76;MOSFET - Power, Dual N-Channel, 80 V, 15 mΩ 31 A NVMFD6H846NL, DFN8 (Pb−Free);N-Channel;Dual;80;15;31;17;20;Silicon;SO-8FL Dual / DFN-8;900;2;34;;19;8;120;7;3;25;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVMFS6H858NL;https://www.onsemi.com/download/data-sheet/pdf/NVMFS6H858NL-D.PDF;NVMFS6H858NLWFT1G;0.28;Power MOSFET 80V, 32A, 20.7 mOhm, Single N-Channel, SO8-FL., Wettable Flank;N-Channel;Single;80;19.5;30;12;20;Silicon;DFNW5 5x6 (FULL-CUT SO8FL WF);623;2;42;;25;6;82;5;2.1;21;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVMFWS0D6N04XM;https://www.onsemi.com/download/data-sheet/pdf/NVMFWS0D6N04XM-D.PDF;NVMFWS0D6N04XMT1G;1.88;Single N-Channel Power MOSFET 40 V, 369 A, 0.6 mΩ;N-Channel;Single;40;0.57;380;86.8;20;Silicon;DFNW5 5x6, FULL−CUT SO8FL WF;5543;3.5;150;;;;3481;50;;254;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVTFS4C02N;https://www.onsemi.com/download/data-sheet/pdf/NVTFS4C02N-D.PDF;NVTFS4C02NTAG;0.83;MOSFET - Single N-Channel Power, N-Channel, µ8FL, 30V, 162 A, 2.25 mΩ;N-Channel;Single;30;2.25;162;45;20;Silicon;WDFN-8 / u8FL;2980;2.2;3.2;;3.1;20;1200;0.018;4;28;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVMYS003N08LH;https://www.onsemi.com/download/data-sheet/pdf/NVMYS003N08LH-D.PDF;NVMYS003N08LHTWG;0.96;MOSFET - Power, Single N-Channel 80 V, 3.3 mΩ, 132 A, LFPAK4 (Pb-Free), 3000 / Tape & Reel;N-Channel;Single;80;3.3;132;64;20;Silicon;LFPAK-4;3735;2;137;;4.3;31;458;19;10.5;66;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVMYS016N06C;https://www.onsemi.com/download/data-sheet/pdf/NVMYS016N06C-D.PDF;NVMYS016N06CTWG;0.37;Power MOSFET 60 V, 16 mΩ, 33 A, Single, N-Channel;N-Channel;Single;60;16;33;7;20;Silicon;LFPAK-4;482;4;35.7;;;;313;7;;8;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVMFS6H852NL;https://www.onsemi.com/download/data-sheet/pdf/NVMFS6H852NL-D.PDF;NVMFS6H852NLT1G;0.28;Power MOSFET 80 V, 42 A, 13.1 mΩ, Single N-Channel, SO8-FL;N-Channel;Single;80;13.1;42;17;20;Silicon;SO-8FL / DFN-5;906;2;54;;17;8;116;6;2.9;25;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVMFS6H852NL;https://www.onsemi.com/download/data-sheet/pdf/NVMFS6H852NL-D.PDF;NVMFS6H852NLWFT1G;0.32;Power MOSFET 80 V, 42 A, 13.1 mΩ, Single N-Channel, SO8-FL, Wettable Flank;N-Channel;Single;80;13.1;42;17;20;Silicon;DFNW5 5x6 (FULL-CUT SO8FL WF);906;2;54;;17;8;116;6;2.9;25;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NTMFD1D1N02X;https://www.onsemi.com/download/data-sheet/pdf/NTMFD1D1N02X-D.PDF;NTMFD1D1N02X;0.89;Dual Power MOSFETs, N-Channel, 25V, 3.0mΩ/75A, 0.87mΩ/178A, Asymmetric, Power Clip Dual 5x6 ;N-Channel;Dual;25;0.87;178;15;16;Silicon;PQFN-8;1060;2.1;27;;1.1;27;1020;118;1.4;44;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NVTFS6H854NL;https://www.onsemi.com/download/data-sheet/pdf/NVTFS6H854NL-D.PDF;NVTFS6H854NLTAG;0.44;Single N-Channel Power MOSFET 80V, 48A, 14.5mΩ;N-Channel;Single;80;13.4;41;17;20;Silicon;WDFN-8 / u8FL;902;2;54;;17.3;8;118;7;2.9;25;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVTFS6H854NL;https://www.onsemi.com/download/data-sheet/pdf/NVTFS6H854NL-D.PDF;NVTFS6H854NLWFTAG;0.44;Single N-Channel Power MOSFET 80V, 48A, 14.5mΩ, Wettable Flank;N-Channel;Single;80;13.4;41;17;20;Silicon;WDFNW8 3.3x3.3, 0.65P (Full−Cut 8FL WF);902;2;54;;17.3;8;118;7;2.9;25;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NTMFS0D9N04XL;https://www.onsemi.com/download/data-sheet/pdf/NTMFS0D9N04XL-D.PDF;NTMFS0D9N04XLT1G;1.06;Power MOSFET, Single, N-Channel, 40V, 0.9mΩ, 278A, SO8-FL 5x6;N-Channel;Single;40;0.9;278;70;20;Silicon;SO-8FL / DFN-5;5160;2.2;136;;1.5;31;1350;23;5;67;Standard;;FALSE;FALSE;TRUE;TRUE;Active
