"Part Suitability","Product (WPN)","Datasheet","OPN","Price","Description","V(BR)GSS Min (V)","IDSS Min (mA)","IDSS Max (mA)","Channel Polarity","Package Type","Ciss Max (pF)","Crss Max (pF)","Qualification","AEC Qualified","PPAP Capable","Halide Free","Lead Free","Status"
"86","MMBFJ309L","https://www.onsemi.com/download/data-sheet/pdf/MMBFJ309LT1-D.PDF","MMBFJ309LT1G","0.08","N-Channel JFET Transistor","25","12","30","N-Channel","SOT-23-3","5","2.5","Standard","false","false","true","true","Active"
"85","MMBF4391L","https://www.onsemi.com/download/data-sheet/pdf/MMBF4391LT1-D.PDF","MMBF4391LT1G","0.08","N-Channel JFET Transistor","30","50","150","N-Channel","SOT-23-3","14","3.5","Standard","false","false","true","true","Active"
"84","MMBFJ310L","https://www.onsemi.com/download/data-sheet/pdf/MMBFJ309LT1-D.PDF","MMBFJ310LT3G","0.08","N-Channel JFET Transistor","25","24","60","N-Channel","SOT-23-3","5","2.5","Standard","false","false","true","true","Active"
"84","MMBFU310L","https://www.onsemi.com/download/data-sheet/pdf/MMBFU310LT1-D.PDF","MMBFU310LT1G","0.08","N-Channel JFET Transistor","25","24","60","N-Channel","SOT-23-3","5","2.5","Standard","false","false","true","true","Active"
"84","MMBFJ310L","https://www.onsemi.com/download/data-sheet/pdf/MMBFJ309LT1-D.PDF","MMBFJ310LT1G","0.08","N-Channel JFET Transistor","25","24","60","N-Channel","SOT-23-3","5","2.5","Standard","false","false","true","true","Active"
"83","CPH3910","https://www.onsemi.com/download/data-sheet/pdf/CPH3910-D.PDF","CPH3910-TL-E","0.13","N-Channel JFET, 25V, 20 to 40mA, 40mS, CPH3","25","20","40","N-Channel","CPH-3","6","2.3","Standard","false","false","false","true","Active"
"83","CPH6904","https://www.onsemi.com/download/data-sheet/pdf/CPH6904-D.PDF","CPH6904-TL-E","0.24","N-Channel JFET, 25V, 20 to 40mA, 40mS, Dual CPH6","25","20","40","N-Channel","CPH-6","6","2.3","Standard","false","false","false","true","Active"
"81","MMBF4392L","https://www.onsemi.com/download/data-sheet/pdf/MMBF4391LT1-D.PDF","MMBF4392LT1G","0.08","N-Channel JFET Transistor","30","25","75","N-Channel","SOT-23-3","14","3.5","Standard","false","false","true","true","Active"
"80","MMBF5103","https://www.onsemi.com/download/data-sheet/pdf/MMBF5103-D.PDF","MMBF5103","0.08","N-Channel Low-Frequency Low-Noise Amplifier","40","10","40","N-Channel","SOT-23-3","16","6","Standard","false","false","true","true","Active"
"78","MMBFJ176","https://www.onsemi.com/download/data-sheet/pdf/J175-D.PDF","MMBFJ176","0.14","P-Channel Switch","30","2","25","P-Channel","SOT-23-3","","","Standard","false","false","true","true","Active"
"77","J176","https://www.onsemi.com/download/data-sheet/pdf/J175-D.PDF","J176-D74Z","0.11","P-Channel Switch","30","2","25","P-Channel","TO-92-3 LF","","","Standard","false","false","false","true","Active"
"77","MMBFJ270","https://www.onsemi.com/download/data-sheet/pdf/MMBFJ270-D.PDF","MMBFJ270","0.13","P-Channel Switch","30","2","15","P-Channel","SOT-23-3","","","Standard","false","false","true","true","Active"
